gene_id	median_absolute_deviation
728689	4012.9889917020123
4831	3988.590134103421
55600	3977.732828420196
8848	3975.2613387354168
2821	3974.6201830310956
4869	3971.7626771385176
10383	3963.8478407233006
1973	3959.1814926214456
2034	3954.528395808735
1490	3942.276282273336
5052	3929.7927779166826
3655	3919.0681331658197
6164	3915.888529951677
1809	3913.586306475897
5349	3911.216419490975
1	3889.6971240081416
7857	3888.8704195127075
8519	3884.023836184466
57402	3859.2335303412997
8542	3854.741869801132
801	3854.3729906172653
6423	3847.4165864482175
292	3843.5139866711006
677	3835.925506054233
667	3822.984639829677
4691	3812.79958516487
5360	3804.289654132844
3164	3800.3602015663873
6128	3794.747674195676
6204	3791.6489581413384
6238	3784.028278221855
5763	3778.610245778664
23646	3757.941150255558
1646	3756.54270346439
3725	3752.2774194608046
65108	3749.8410658057473
6768	3737.013454409232
3921	3733.12396229469
871	3725.077838357699
23524	3719.0741111913117
7086	3719.03185487443
2354	3716.1441178372042
3159	3715.0156229276786
7058	3714.6840314009546
11057	3698.7500376317807
3699	3694.12530774635
1576	3693.3486848389243
6624	3688.9368513690347
79784	3678.1609137560336
4946	3671.5047189385255
3181	3658.54571743795
7531	3657.9481006380406
57016	3655.2005889585967
308	3652.601341898006
10209	3649.2924683710057
7037	3644.8601645366134
166	3643.1803611777987
10417	3642.2498713762125
5054	3633.0121385131547
1981	3630.249058712282
4316	3627.2360836348475
8553	3616.7925560345384
10916	3616.6588910274695
805	3604.283337471969
6230	3595.67392124723
23654	3585.9147380866643
9235	3556.313344186761
140576	3556.076550564928
4170	3552.658417516238
361	3545.9027431126815
5834	3543.6203961686147
7113	3525.5093004890346
114569	3521.544500486162
2012	3507.9834310673737
10493	3492.738506417268
7103	3491.963717048974
51458	3482.9106217839903
1499	3474.993111339442
7094	3461.566596236359
1755	3446.285574457878
57535	3445.129710957227
7805	3445.1116869606817
857	3443.72849720845
5166	3436.8087887117367
4904	3421.7174462812823
9601	3417.943560894039
51109	3413.8101541642955
3726	3407.9736135586622
4926	3407.259485891167
8000	3399.9555186342254
1213	3391.776615119402
498	3387.317014563132
7306	3371.86525966232
3115	3368.3695046906214
6169	3358.092812291169
2197	3353.706933786137
55353	3344.5004727552814
55748	3339.394013550324
1522	3335.1902865586258
54541	3333.3365632734476
722	3332.827282039266
2147	3329.1182722669423
9806	3312.0439954771214
1825	3308.285474675443
10232	3303.0874208076584
64855	3298.8462898435546
9672	3297.812572894695
8581	3295.742834719086
3925	3281.4576990945866
3491	3280.874582174441
2938	3254.936730065062
9415	3253.135349586371
3936	3250.779792813768
5345	3244.6633544344454
1192	3242.4994046459133
4588	3236.8491779255874
7812	3221.3937780179504
1728	3212.412693996124
25932	3209.2404938989307
1984	3208.36903608109
87	3199.470015599925
50848	3196.136445911922
1075	3191.2722445128225
29956	3190.858546575653
6209	3184.069675971114
6035	3181.0653801236695
103910	3175.985111827875
25878	3171.545508618084
713	3170.080135348372
375	3164.753637816366
3068	3160.756365388034
5105	3159.2128499843257
10956	3154.555809028378
1327	3148.005045641974
11034	3144.643292328471
8763	3143.379454944579
3912	3139.0309262129367
307	3135.5726677697794
6207	3135.1896350905918
6185	3132.726656824787
29997	3132.677593911097
7849	3127.0572751902505
55365	3126.6646637633107
10099	3126.6017254508174
4312	3120.774399296018
1512	3108.926978839627
9761	3100.6411033385466
1153	3099.930450670014
6286	3095.273358196364
3915	3094.928843057167
113146	3090.1750989552506
3005	3075.692396029058
5493	3066.4532155746756
30061	3061.5830742856833
3242	3060.2201163636014
754	3056.3361439279697
684	3049.86404299045
4318	3048.7370287203235
7170	3046.261539668049
3848	3045.7433613829885
10763	3042.868734683706
977	3042.5134264224857
5919	3042.5034300894645
1173	3041.633193844224
688	3035.694763798044
4779	3029.550540934972
3898	3029.0940180420503
427	3028.247872080466
6235	3021.320001477428
4681	3018.7929743012996
10611	3018.7159411804055
11170	3018.1876585980285
2195	3012.1228147980814
1778	3011.234720956978
5730	3001.5659449279265
1264	2992.454282951866
123	2980.5593174838054
1974	2978.686940615374
56667	2977.948902889769
114908	2977.408104705924
7173	2977.3148585708673
717	2975.2941026717485
347735	2970.5184213852203
1586	2967.478279126783
10130	2965.5263597518424
7832	2963.3952461189665
5358	2961.6399440265436
4257	2957.8908454498387
171024	2951.064057003995
3040	2949.9793129508944
4233	2948.472335982408
10437	2944.120756671389
6139	2943.5611866698937
2824	2935.8210538844482
2065	2926.9017886675556
57222	2921.3266899302866
5654	2913.1756521801576
56937	2912.559755703805
712	2904.294535664926
22883	2896.99087587752
9961	2894.5278934739354
4854	2888.455958795028
6709	2886.4075535045026
2180	2877.498203006964
4953	2873.4214026178524
2040	2869.874017482399
2200	2868.3914727895926
6892	2868.3729497602835
23213	2862.6557730430204
689	2852.862802119358
6890	2852.1933207458233
79144	2851.6175966478404
51669	2849.6904841696573
1655	2847.9220887244505
1975	2843.678180462945
6480	2837.754042438544
374897	2831.984141064482
4179	2823.535399802672
2683	2823.341223164203
80736	2823.0722202341153
8644	2819.16305166931
1500	2815.7982197770684
4673	2807.3127473730265
23336	2801.7835356739547
10155	2788.261250074511
25840	2786.711937773699
83483	2786.61110527364
10202	2783.93899863985
6337	2779.329421055169
26018	2778.799894856716
7203	2778.4945563840906
